from,to,weigth
3,1,0.078273542
4,1,0.031789261
5,1,0.002591124
6,1,0.37575901
8,1,0.206759105
10,1,0.030933551
7,2,0.02
8,2,0.93
5,3,0.052090467
6,3,0.079387865
7,3,0.176439689
8,3,0.252002385
11,3,0.203618788
14,3,0.011933089
16,3,0.214527287
18,3,0.010000429
3,4,0.01580431
5,4,0.045050397
6,4,0.487399554
7,4,0.150850631
8,4,0.181466474
9,4,0.030000517
11,4,0.056489564
13,4,0.000253368
14,4,0.002239919
16,4,0.030445265
16,5,0.1
17,5,0.2
18,5,0.1
19,5,0.1
20,5,0.5
7,6,0.01
14,6,0.1
16,6,0.25
17,6,0.15
18,6,0.1
19,6,0.02
20,6,0.37
17,7,0.39
18,7,0.15
19,7,0.21
20,7,0.25
17,8,0.33
18,8,0.17
19,8,0.09
20,8,0.41
14,9,0.6
15,9,0.1
16,9,0.3
11,10,0.082554909
12,10,0.453295295
13,10,0.339445597
14,10,0.124704199
14,11,0.59761
15,11,0.003984
16,11,0.398406
21,12,0.8
22,12,0.2
21,13,0.4
22,13,0.6
14,14,0.1
15,14,0.3
22,14,0.6
15,15,0.02
22,15,0.98
17,16,0.05
18,16,0.05
19,16,0.1
20,16,0.2
21,16,0.3
22,16,0.2
21,17,1
21,18,1
21,19,1
21,20,1
